brand,model_year,price,fuel_type,engine_size,co2_emission,transmission,color
Chevrolet,2018,25534.70740164499,Hybrid,4.6,136.48712906616777,Manual,Blue
Tesla,2020,21751.703469150114,Hybrid,4.4,98.54730010811365,Automatic,White
Mercedes,2002,41693.07055363673,Hybrid,,119.63241059945733,Manual,Red
Honda,2010,15912.280586546267,Petrol,1.2,94.70502334934291,Automatic,Red
Chevrolet,2006,28511.41455501033,Hybrid,4.5,142.98845869322707,Automatic,Black
Volkswagen,2016,35917.79901068639,Diesel,4.6,112.67723702119453,Automatic,Blue
BMW,2008,28401.126560276418,Diesel,2.5,133.09402285605074,Manual,Green
Chevrolet,2020,,Hybrid,3.1,104.58169022299128,Automatic,Red
Mercedes,2008,34285.2625208388,Petrol,2.1,122.57061940676081,Manual,Gray
Honda,2009,21249.74517204571,Hybrid,1.1,114.24745139001885,Automatic,Blue
Tesla,2012,16073.67673096798,Diesel,2.9,83.5868222092663,Automatic,Green
Mercedes,2014,32825.314359049815,Petrol,1.5,152.7258178486493,Manual,Gray
Mercedes,2021,22038.539212688487,Hybrid,1.7,140.05510354861144,Manual,Yellow
BMW,2004,31053.750151045126,Petrol,2.9,81.92520411036088,Manual,Green
Hyundai,2002,29013.872837703926,Hybrid,4.5,95.41647163872078,Automatic,Red
Honda,2007,,Electric,4.4,102.16097369990621,Automatic,White
Ford,2019,28183.360495070265,Petrol,,159.51113991726902,Manual,Gray
Mercedes,2009,34412.14925278895,Diesel,2.9,146.01397871229545,Manual,Green
Hyundai,2012,24371.61378537103,Diesel,3.2,126.49714061437604,Manual,Gray
Ford,2002,36249.90713961095,Diesel,4.3,72.55227478180888,Automatic,Blue
Honda,2021,20259.012457916768,Diesel,3.8,133.69552940001782,Automatic,Yellow
Toyota,2007,39380.99186017953,Hybrid,1.7,125.07107616844493,Automatic,Black
Volkswagen,2008,46413.16952803553,Hybrid,2.6,109.6520737786552,Manual,White
Hyundai,2021,30864.891288259714,Petrol,4.7,159.6527044279864,Automatic,Blue
Audi,2020,42553.388946044026,Electric,1.6,114.00216901621502,Manual,Green
Toyota,2011,44627.26770047362,Electric,1.8,155.42854221432424,Manual,Blue
Volkswagen,2010,27432.525034161023,Petrol,2.6,108.97361262251174,Manual,Yellow
BMW,2001,30382.91917634045,Diesel,4.8,94.33367917669823,Automatic,Red
Chevrolet,2017,23487.059944472327,Electric,1.5,82.62199125280652,Automatic,Black
Tesla,2008,24003.136994748587,Electric,3.7,117.6045230698607,Automatic,Green
Audi,2001,31862.96033878693,Petrol,1.5,121.33332087283853,Manual,Black
BMW,2001,16913.375603945795,Diesel,3.1,91.35678593918176,Automatic,White
Honda,2002,36678.2663492268,Hybrid,3.1,92.73657871064842,Automatic,White
BMW,2015,,Hybrid,1.2,155.26868419738602,Manual,Black
Chevrolet,2018,35450.65486564951,Electric,4.8,142.2643455743873,Manual,Gray
Honda,2003,28543.750306933754,Hybrid,4.2,174.9222017455438,Manual,Green
Audi,2022,35380.21567510667,Petrol,2.2,71.48778842790698,Automatic,Gray
Chevrolet,2017,31981.162129698085,Electric,1.5,171.24465294479214,Manual,Blue
Ford,2019,34057.79986030211,Electric,2.4,96.3819322929806,Manual,Green
Tesla,2017,37213.697737538365,Diesel,4.6,80.54084957342849,Automatic,Black
Audi,2009,19880.408848903462,Hybrid,1.5,127.50791855409005,Manual,Blue
Ford,2010,24375.402742585706,Diesel,2.4,64.20641451661498,Manual,Gray
Volkswagen,2016,48518.572734208865,Electric,3.0,152.49858206729385,Automatic,Yellow
Audi,2022,,Hybrid,1.1,125.16135651984418,Manual,Yellow
Volkswagen,2019,16265.62103805736,Diesel,2.1,98.89367462419794,Automatic,Yellow
Honda,2015,16310.060390919298,Hybrid,3.4,150.06475863521058,Manual,White
Ford,2019,29400.069590309922,Electric,2.3,115.93493457700717,Automatic,Green
Tesla,2012,25815.705061380944,Electric,4.5,121.06288223066218,Manual,Black
Chevrolet,2001,23549.02524754584,Electric,4.7,138.82041114403648,Manual,Red
Mercedes,2001,44345.16107443276,Petrol,2.8,101.07914214227655,Automatic,Blue
BMW,2013,27047.09584061789,Diesel,3.1,88.34279054641162,Automatic,Green
Toyota,2003,36567.78233761813,Diesel,,116.086603038201,Automatic,Black
Tesla,2016,32000.99838167218,Electric,3.7,79.45185966461598,Manual,Red
Ford,2012,27640.88548237591,Diesel,1.3,107.08802474453111,Manual,Blue
Mercedes,2003,20866.203965480396,Electric,1.2,89.95930066346293,Manual,Gray
Tesla,2002,36153.8524321012,Diesel,4.5,110.6434908332607,Automatic,Blue
Ford,2011,11245.099941956843,Hybrid,1.9,93.09298190452904,Manual,White
Hyundai,2021,36965.419799793446,Diesel,3.3,109.76881380063242,Automatic,Green
Hyundai,2022,31210.284302563672,Electric,3.5,150.82530789172338,Manual,Blue
Volkswagen,2007,34948.61409938855,Diesel,1.7,97.72583400364161,Automatic,Blue
Tesla,2001,30062.104134299378,Hybrid,4.0,131.52782797882878,Automatic,Green
Hyundai,2005,20125.246963264064,Hybrid,4.5,65.73981159554225,Automatic,Green
Ford,2021,,Hybrid,2.1,110.10541341145951,Automatic,Black
Volkswagen,2009,36791.199324275505,Electric,4.5,95.25118053386859,Manual,Black
Ford,2011,26166.809485562073,Petrol,1.3,121.73426900365115,Automatic,Gray
Volkswagen,2020,35259.136383320394,Electric,4.2,103.42493376609565,Manual,White
Tesla,2009,32372.413066685804,Hybrid,3.6,145.93278725115678,Manual,White
Mercedes,2009,33604.41720168639,Diesel,3.3,109.37765071221877,Automatic,Gray
Chevrolet,2022,23123.72241387062,Hybrid,1.9,153.74844723224965,Automatic,Red
Audi,2002,40257.30156759181,Petrol,2.4,57.23625446277831,Manual,Blue
Mercedes,2019,32368.247800981615,Petrol,4.6,121.20646145154144,Manual,Black
Honda,2009,36653.678066812296,Hybrid,2.9,124.02963465764039,Manual,Green
Ford,2008,26894.800697287763,Electric,3.4,91.95583440784435,Automatic,Green
Honda,2019,37858.326547051605,Petrol,4.7,120.03293733178509,Manual,Gray
Mercedes,2018,26624.46171450039,Hybrid,2.9,134.464801844191,Manual,Green
