order_id,customer_id,order_date,order_value,product_name,category
ORD00001,CUST0815,2021-01-01 00:00:00,1984.58,Smartphone,Akcesoria
ORD00002,CUST0012,2021-01-01 01:00:00,3578.78,Monitor,Komputery
ORD00003,CUST0318,2021-01-01 02:00:00,1416.78,Tablet,Elektronika
ORD00004,CUST0592,2021-01-01 03:00:00,1825.41,Tablet,Akcesoria
ORD00005,CUST0216,2021-01-01 04:00:00,961.72,Laptop,Komputery
ORD00006,CUST0339,2021-01-01 05:00:00,1741.84,Laptop,RTV
ORD00007,CUST0776,2021-01-01 06:00:00,2740.72,Smartphone,Elektronika
ORD00008,CUST0991,2021-01-01 07:00:00,4958.95,Smartphone,Elektronika
ORD00009,CUST0661,2021-01-01 08:00:00,3324.37,Laptop,RTV
ORD00010,CUST0081,2021-01-01 09:00:00,1004.24,Monitor,Elektronika
ORD00011,CUST0727,2021-01-01 10:00:00,234.36,Smartphone,Komputery
ORD00012,CUST0485,2021-01-01 11:00:00,640.52,Laptop,Akcesoria
ORD00013,CUST0374,2021-01-01 12:00:00,2817.15,Laptop,Elektronika
ORD00014,CUST0976,2021-01-01 13:00:00,3828.15,Laptop,Akcesoria
ORD00015,CUST0710,2021-01-01 14:00:00,4702.69,Monitor,Akcesoria
ORD00016,CUST0200,2021-01-01 15:00:00,88.96,Laptop,Akcesoria
ORD00017,CUST0537,2021-01-01 16:00:00,2618.57,Smartphone,Elektronika
ORD00018,CUST0466,2021-01-01 17:00:00,2359.63,Tablet,RTV
ORD00019,CUST0089,2021-01-01 18:00:00,3283.71,Laptop,Akcesoria
ORD00020,CUST0268,2021-01-01 19:00:00,2802.3,Laptop,Akcesoria
ORD00021,CUST0655,2021-01-01 20:00:00,3438.33,Laptop,Komputery
ORD00022,CUST0571,2021-01-01 21:00:00,3293.83,Smartphone,Akcesoria
ORD00023,CUST0922,2021-01-01 22:00:00,593.89,Laptop,Komputery
ORD00024,CUST0489,2021-01-01 23:00:00,4000.59,Laptop,RTV
ORD00025,CUST0877,2021-01-02 00:00:00,624.93,Headphones,Elektronika
ORD00026,CUST0538,2021-01-02 01:00:00,3495.67,Laptop,Akcesoria
ORD00027,CUST0047,2021-01-02 02:00:00,2086.57,Tablet,RTV
ORD00028,CUST0288,2021-01-02 03:00:00,2574.12,Tablet,Elektronika
ORD00029,CUST0778,2021-01-02 04:00:00,4517.46,Smartphone,Elektronika
ORD00030,CUST0016,2021-01-02 05:00:00,4450.52,Smartphone,RTV
ORD00031,CUST0711,2021-01-02 06:00:00,4091.1,Laptop,Komputery
ORD00032,CUST0401,2021-01-02 07:00:00,2555.64,Tablet,RTV
ORD00033,CUST0919,2021-01-02 08:00:00,3683.84,Tablet,Elektronika
ORD00034,CUST0794,2021-01-02 09:00:00,2569.36,Tablet,Elektronika
ORD00035,CUST0981,2021-01-02 10:00:00,4349.33,Laptop,Elektronika
ORD00036,CUST0086,2021-01-02 11:00:00,2019.85,Monitor,Akcesoria
ORD00037,CUST0250,2021-01-02 12:00:00,4851.47,Laptop,Akcesoria
ORD00038,CUST0391,2021-01-02 13:00:00,4662.29,Smartphone,Elektronika
ORD00039,CUST0782,2021-01-02 14:00:00,3710.6,Smartphone,Elektronika
